height,weight,age
151.47,54.06,43
150.05,61.48,57
171.1,71.42,22
177.7,45.6,56
160.13,48.98,40
154.79,49.27,60
154.67,51.71,15
178.87,45.36,50
156.67,77.89,22
150.62,66.89,45
173.89,49.36,22
175.85,70.44,52
165.7,45.38,22
172.46,79.79,34
178.97,64.33,59
173.82,69.92,46
159.44,66.74,45
158.15,70.51,51
163.01,55.46,62
178.6,55.88,67
174.47,47.58,35
176.52,64.43,22
172.35,66.56,23
176.56,67.21,43
178.22,69.97,36
154.53,70.66,55
155.99,64.7,47
177.34,45.5,64
161.16,45.08,40
179.39,57.47,26
178.3,70.01,46
156.72,67.51,35
162.74,54.85,32
155.84,69.5,13
177.51,66.64,68
167.16,67.73,70
159.73,61.59,37
171.69,63.01,26
157.38,61.71,36
163.53,75.84,68
154.28,78.64,15
179.91,56.37,32
153.37,63.35,52
163.88,54.87,65
165.51,59.78,54
176.14,73.94,57
170.75,57.73,46
154.33,76.44,52
151.49,56.87,29
162.26,55.03,60
178.57,76.65,31
162.18,64.51,62
173.87,78.05,28
177.41,52.24,41
156.1,62.07,38
169.22,63.75,51
176.44,52.13,48
154.5,49.79,54
150.37,73.08,60
171.89,64.7,51
162.78,63.45,63
179.67,55.82,62
162.41,65.48,16
156.49,76.46,52
151.15,78.05,68
153.44,58.12,25
176.95,78.45,56
172.37,48.46,37
159.56,77.42,48
173.16,46.99,62
154.38,46.07,65
151.3,78.15,38
158.88,69.35,51
151.36,48.11,40
168.85,60.66,54
177.33,77.45,61
177.13,78.09,47
152.14,53.52,15
173.13,50.05,39
160.86,55.67,16
161.13,67.96,47
151.46,75.9,66
175.7,73.1,35
155.26,55.27,52
151.33,52.21,66
163.74,50.74,29
153.56,51.97,63
172.01,52.57,58
177.94,59.54,38
163.38,73.59,56
158.28,44.44,17
166.57,63.86,48
172.46,68.81,53
152.99,54.65,65
175.39,65.36,47
163.63,78.24,15
173.93,59.98,58
151.18,78.49,34
177.69,56.0,13
166.42,64.96,17
157.77,44.06,48
157.67,54.39,16
178.09,48.52,37
168.27,78.44,62
151.61,61.91,19
160.4,44.13,56
164.22,71.65,44
176.84,55.17,34
175.98,66.97,68
160.36,75.08,44
175.61,76.4,53
175.74,58.62,27
152.19,63.9,67
153.84,56.87,50
169.12,71.44,34
171.47,49.1,61
155.0,50.03,67
165.68,67.9,70
174.26,74.37,29
153.63,64.81,65
153.99,57.82,47
157.6,66.36,39
155.79,67.56,24
163.31,66.16,32
175.55,66.89,40
156.05,75.69,62
171.14,71.83,50
156.68,63.92,50
167.0,69.81,36
155.19,77.49,27
170.94,52.81,35
154.08,45.49,15
158.66,49.4,26
160.5,77.78,19
171.61,65.54,32
161.86,47.83,54
179.33,75.45,21
173.8,58.95,56
167.39,63.2,20
159.92,68.88,34
154.95,73.24,68
175.26,52.06,26
151.5,49.52,45
161.28,50.96,66
158.71,60.8,47
157.1,59.54,67
173.81,59.26,70
150.76,68.62,37
179.07,73.6,54
171.81,68.34,62
167.51,66.97,43
177.0,69.82,49
171.85,72.54,68
157.25,58.38,15
154.49,64.48,42
155.77,48.17,31
167.85,55.9,63
153.18,45.6,50
179.14,60.66,39
176.79,79.03,26
174.66,73.05,15
168.18,63.39,42
160.48,45.26,61
163.85,61.52,26
168.58,77.09,45
169.65,55.29,26
161.55,45.32,67
168.39,71.44,14
178.91,74.47,64
162.58,67.64,49
165.12,72.41,48
161.69,56.84,20
168.85,77.9,35
176.85,45.63,47
151.09,68.54,47
160.52,49.05,68
154.04,46.02,14
168.2,60.23,25
169.62,44.42,34
159.54,61.87,58
154.18,65.83,37
151.89,79.58,43
175.08,62.98,18
168.9,57.68,58
161.41,61.84,59
173.2,67.45,23
176.4,68.13,53
172.07,70.46,25
175.34,52.12,40
167.26,53.79,44
169.6,54.81,28
176.94,73.59,46
165.01,53.4,13
174.32,48.64,41
158.43,71.55,22
169.06,60.67,22
158.98,78.03,22
179.17,66.98,67
177.37,73.22,39
178.16,56.08,28
177.99,63.05,42
165.33,53.41,39
175.9,50.18,24
159.67,72.45,54
161.08,69.93,56
158.78,52.23,58
160.29,44.84,28
170.71,55.38,16
161.72,62.68,52
177.11,52.59,68
173.21,78.47,35
168.47,79.76,19
165.53,72.94,26
165.79,62.3,55
175.83,54.15,34
151.46,71.22,68
165.53,70.47,39
170.34,67.9,67
171.44,59.4,70
175.7,72.56,28
171.94,45.43,65
165.05,73.3,18
178.1,56.06,13
153.9,73.28,60
155.51,54.97,19
167.89,68.99,49
151.79,76.26,51
164.65,67.37,19
177.12,50.49,36
165.75,68.0,52
153.27,73.11,54
169.43,52.67,34
178.65,68.04,42
160.5,62.65,18
151.63,56.81,23
168.66,71.3,57
152.0,66.83,23
163.26,58.67,15
159.37,61.89,50
160.33,79.55,70
173.56,67.68,59
166.55,70.71,24
170.47,79.97,31
162.47,50.54,19
151.57,66.67,70
177.15,50.69,23
173.59,61.95,21
153.66,46.87,67
161.72,68.42,54
155.69,64.8,66
165.36,78.04,26
177.22,50.05,50
166.85,45.28,34
150.26,68.18,18
163.37,63.37,27
154.73,57.43,55
165.55,63.78,68
166.06,65.93,24
162.94,69.73,47
172.43,66.04,21
154.07,72.23,38
179.75,50.52,38
175.94,62.61,19
179.49,65.38,62
178.31,72.09,50
177.46,63.92,65
155.74,73.3,66
162.8,53.7,17
162.66,69.24,52
154.2,47.27,25
159.93,48.98,31
173.01,67.7,42
153.44,74.48,16
171.06,70.74,24
157.67,79.82,49
163.13,54.65,26
178.96,65.07,52
155.39,47.23,68
159.04,63.14,64
155.98,70.72,70
151.77,78.03,25
160.32,47.29,17
152.09,47.0,49
161.32,62.83,66
156.88,73.47,37
174.15,55.09,40
171.0,77.66,26
150.68,66.82,21
158.78,55.1,52
171.18,54.05,21
157.87,70.33,47
160.78,72.94,42
170.7,73.97,25
152.05,66.83,32
150.26,47.61,46
157.98,54.54,25
155.64,74.72,28
170.25,61.1,41
159.2,52.99,40
177.55,48.15,49
152.64,54.52,30
176.12,52.14,66
171.25,75.29,26
176.77,46.03,39
167.7,68.23,35
177.23,49.33,38
156.85,78.36,43
172.68,73.86,51
150.2,67.64,48
172.92,45.36,61
160.65,59.32,48
172.82,72.72,49
170.7,78.19,58
152.15,61.73,56
177.38,57.89,46
172.13,59.34,48
162.82,74.08,13
162.94,46.11,66
168.47,70.47,39
155.62,47.81,56
179.67,74.21,44
151.84,47.5,20
163.81,57.5,15
167.29,58.21,21
177.81,46.2,63
157.26,60.88,48
171.57,78.6,37
169.19,80.0,13
164.94,55.24,25
167.98,61.82,41
158.48,49.77,27
168.81,59.75,39
175.71,48.42,13
177.23,79.71,27
157.59,71.02,14
152.19,59.15,21
153.41,62.99,17
155.98,59.53,57
172.02,63.91,46
156.83,77.19,47
177.46,54.33,21
153.42,52.96,61
158.73,57.41,27
158.62,78.96,22
165.77,60.4,23
151.16,65.1,60
169.25,73.02,21
165.76,44.37,23
155.09,48.05,69
168.61,54.44,60
173.14,58.04,61
152.28,53.9,53
176.8,65.23,40
167.55,50.31,13
150.01,77.97,34
169.42,66.07,65
178.67,79.25,14
178.54,75.7,28
155.76,56.52,52
176.42,63.15,35
177.45,61.89,29
179.94,70.45,37
171.33,50.89,52
157.16,65.92,46
165.06,46.79,15
151.35,50.65,36
162.4,46.1,31
159.96,50.47,58
155.64,62.01,46
152.03,44.37,57
159.19,61.56,18
160.57,49.11,64
168.19,68.3,30
154.92,69.04,32
156.26,77.91,46
167.41,60.74,52
169.06,59.52,23
160.19,78.53,55
154.65,66.93,46
178.28,65.0,15
171.98,78.46,13
175.99,57.57,48
174.86,62.85,29
179.92,45.9,40
160.72,54.04,34
170.12,52.32,70
163.17,65.38,51
171.75,44.76,19
172.98,59.59,42
153.06,65.09,34
170.3,64.97,17
171.04,54.19,46
157.32,71.13,21
164.96,63.77,17
156.73,50.64,54
160.78,48.3,66
158.85,67.39,53
166.55,64.53,31
160.98,72.21,15
162.14,67.39,30
150.89,70.8,40
164.36,70.62,29
163.74,44.83,32
153.29,61.56,54
150.93,55.55,20
151.27,78.32,23
167.95,49.58,62
154.39,71.04,30
161.78,75.43,52
171.08,74.28,35
169.13,55.08,27
172.09,53.37,37
152.0,66.9,43
156.16,58.29,39
160.77,74.55,14
176.05,67.42,50
175.73,74.7,41
163.8,77.14,30
162.04,72.02,34
178.18,60.19,18
164.78,76.22,47
179.74,67.73,17
175.85,68.32,34
159.46,70.39,37
174.52,48.53,48
178.18,63.51,16
156.32,50.97,41
170.78,56.8,43
152.23,78.69,52
162.94,77.63,13
153.6,48.17,49
166.69,79.17,49
154.56,52.47,19
171.99,54.0,51
174.7,75.33,43
177.69,50.97,32
178.89,77.61,61
153.45,75.22,29
172.56,60.82,47
150.45,52.84,70
162.24,46.51,67
159.31,57.94,57
155.3,67.05,43
165.33,45.61,43
152.5,63.91,22
166.96,68.73,20
179.64,71.45,23
150.9,47.75,13
173.25,55.32,61
169.47,79.13,61
150.29,72.01,35
173.78,71.75,48
170.9,79.84,58
173.21,55.12,21
152.33,45.11,14
161.71,55.43,39
173.3,46.42,25
165.06,60.9,29
158.21,58.09,70
157.7,47.23,62
162.4,68.34,59
155.42,57.44,27
172.57,50.7,28
157.8,71.34,66
177.91,49.69,18
156.42,51.36,25
168.63,61.0,42
174.86,60.37,43
154.69,74.01,63
173.58,49.67,52
160.25,78.69,49
158.74,45.59,28
159.04,61.25,14
179.54,67.55,63
174.33,61.98,23
152.34,54.04,63
173.14,55.06,31
160.04,73.16,42
173.95,59.77,17
154.54,54.19,14
161.04,72.95,44
172.79,66.99,36
159.01,61.77,28
170.72,68.98,70
170.02,46.81,59
163.68,79.53,55
155.71,70.52,16
169.73,56.22,24
170.28,49.51,38
175.48,78.43,46
157.09,60.73,41
178.17,56.75,68
173.73,72.02,59
156.86,71.16,60
157.46,50.91,47
161.89,78.01,33
176.69,51.55,21
157.18,67.32,36
161.28,72.02,14
157.3,68.51,30
172.56,57.13,70
172.16,72.67,24
175.6,74.11,32
158.27,77.71,64
160.46,54.04,62
158.83,74.35,22
172.63,52.25,59
179.82,76.49,32
177.87,49.72,70
164.09,68.36,14
151.94,64.62,47
160.8,73.17,33
173.72,78.47,13
162.27,72.11,28
171.23,63.92,29
176.72,66.86,44
176.66,61.81,61
157.31,71.35,14
160.29,47.03,25
174.88,72.28,25
172.36,74.39,45
166.92,46.8,26
153.62,58.17,27
179.12,71.95,66
158.13,44.45,36
169.01,60.28,59
173.74,65.6,26
162.04,48.1,15
154.77,52.11,42
168.28,79.31,34
170.79,78.44,61
157.48,68.9,20
170.21,47.01,43
160.67,75.27,14
164.9,69.86,48
159.53,70.11,46
166.06,65.89,36
159.0,47.23,58
154.74,58.81,55
158.41,78.85,38
156.29,61.46,17
155.24,51.16,68
155.0,44.12,43
153.3,78.63,16
159.15,55.57,35
172.63,62.25,69
174.61,59.05,68
168.79,59.43,15
157.0,45.57,14
155.4,45.51,43
169.62,53.14,31
156.37,64.74,47
152.68,63.21,69
156.79,63.05,42
164.61,74.27,62
172.32,55.18,29
159.74,67.75,13
162.27,76.63,52
166.23,76.17,17
177.2,76.2,47
176.22,55.65,21
167.1,48.39,16
159.1,54.58,37
168.3,67.22,62
159.06,49.01,32
157.53,45.34,57
174.58,77.11,70
171.52,46.65,64
155.97,72.81,62
164.47,47.57,61
165.72,79.44,26
157.5,63.24,16
177.65,49.03,35
166.39,68.93,39
176.92,57.44,52
166.17,65.16,69
152.56,46.72,48
159.2,68.09,31
179.2,58.68,18
160.54,74.62,34
161.36,55.29,18
156.74,52.77,66
176.85,77.45,53
173.48,51.0,49
169.55,64.83,20
165.81,57.84,47
151.68,54.23,16
176.06,75.29,23
178.26,67.88,47
162.1,64.3,60
178.99,59.15,56
154.86,62.63,55
155.99,50.77,68
150.99,63.94,31
174.77,52.65,25
170.76,52.38,17
170.86,77.59,15
178.39,52.35,18
151.5,67.35,46
166.73,44.72,16
156.96,49.66,43
174.18,66.31,50
153.63,51.2,66
167.56,44.08,25
175.04,71.86,58
173.01,60.76,63
168.47,52.93,59
174.61,73.0,67
153.19,79.73,56
167.85,76.81,42
170.48,59.3,66
179.46,48.66,47
162.74,60.82,40
163.36,61.11,62
154.88,74.14,14
177.92,55.44,49
152.49,51.26,69
160.46,44.97,48
164.34,69.37,25
167.77,53.12,21
156.36,62.02,49
165.53,44.14,55
168.7,53.46,39
177.87,49.4,43
157.27,56.77,65
160.4,44.77,23
156.64,58.62,36
161.91,53.77,52
172.16,77.0,66
156.95,72.01,47
170.23,59.99,42
177.51,44.42,64
163.5,77.57,50
153.81,46.13,40
159.18,60.04,69
170.79,66.85,40
160.12,75.02,52
156.96,48.9,38
167.12,69.23,13
176.07,71.25,42
157.46,61.62,30
152.88,73.56,59
155.77,63.22,24
151.81,62.19,48
177.7,56.76,45
176.5,66.5,14
165.53,68.56,49
169.58,62.61,70
170.76,69.99,50
158.9,44.22,44
158.73,62.4,65
160.1,73.47,44
162.11,66.49,25
160.21,67.6,53
164.47,69.81,49
155.54,73.17,20
164.99,59.11,62
155.91,54.05,38
167.0,58.43,60
164.65,67.5,32
176.96,58.48,62
163.54,73.19,17
168.46,50.18,26
155.12,64.88,39
158.88,60.25,24
168.28,71.78,22
177.52,58.41,42
163.09,70.96,19
164.72,48.53,35
168.5,45.56,41
165.43,60.36,63
166.04,49.25,34
168.96,57.59,54
178.02,48.22,14
177.52,51.11,27
174.96,46.61,25
161.48,53.11,21
154.06,55.91,14
153.86,54.16,65
179.46,48.01,14
165.18,50.03,51
161.87,44.37,31
151.33,73.22,15
154.57,74.48,38
153.6,55.79,39
161.81,79.0,62
156.87,57.04,52
165.32,50.3,65
178.0,45.08,14
153.56,71.9,59
152.72,70.84,61
154.32,66.64,40
174.51,50.53,41
150.47,74.81,16
176.52,69.21,52
151.46,44.87,49
158.87,68.25,31
178.16,76.18,21
151.08,48.8,50
161.81,70.46,67
153.96,77.33,32
161.28,54.16,37
162.01,71.66,58
161.68,66.29,27
157.33,70.11,45
169.88,53.52,22
163.17,52.89,51
154.66,69.03,15
176.69,69.83,51
168.46,47.3,51
177.16,57.55,53
168.84,69.87,47
179.87,45.06,37
163.48,72.62,70
155.62,68.29,13
159.65,51.5,13
150.05,48.96,34
152.39,72.61,47
155.98,67.2,37
158.07,48.24,59
158.62,56.54,63
